code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,TMA1,TMA2,TMA3,TMA4,TMA5,TMA6
DDD,2013J,78170,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,80868,M,South West Region,Lower Than A Level,80-90%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,82088,F,East Midlands Region,HE Qualification,70-80%,35-55,2,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,89188,F,South Region,A Level or Equivalent,50-60%,0-35,0,60,TRUE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,89727,F,Wales,A Level or Equivalent,40-50%,0-35,0,70,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,90979,F,East Anglian Region,HE Qualification,80-90%,35-55,0,120,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,92391,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,1,60,FALSE,Fail,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,102850,F,South West Region,A Level or Equivalent,70-80%,35-55,0,165,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,103800,M,Wales,A Level or Equivalent,40-50%,0-35,0,90,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Pass
DDD,2013J,104643,F,South West Region,A Level or Equivalent,70-80%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,105523,M,Scotland,HE Qualification,60-70%,35-55,0,90,FALSE,Pass,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,108789,M,London Region,A Level or Equivalent,10-20,0-35,0,70,TRUE,Fail,Fail,Fail,Fail,Fail,Fail,Fail
DDD,2013J,111360,M,West Midlands Region,HE Qualification,30-40%,0-35,3,60,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,111926,M,East Anglian Region,Lower Than A Level,30-40%,0-35,1,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,114558,M,North Region,Lower Than A Level,NA,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,120999,M,East Anglian Region,Lower Than A Level,80-90%,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,122739,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,123497,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,FALSE,Fail,Pass,Pass,Fail,Fail,Fail,Fail
DDD,2013J,123598,M,Scotland,A Level or Equivalent,50-60%,0-35,0,90,TRUE,Distinction,Fail,Pass,Pass,Pass,Pass,Pass
DDD,2013J,124006,F,Scotland,A Level or Equivalent,30-40%,0-35,1,70,TRUE,Pass,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,126394,M,Wales,A Level or Equivalent,90-100%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,126812,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,127988,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,150,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,128656,F,North Region,A Level or Equivalent,10-20,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,128965,M,South West Region,A Level or Equivalent,60-70%,55<=,1,60,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Pass
DDD,2013J,130467,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,130671,F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,131222,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,132401,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,135385,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,139843,M,North Western Region,HE Qualification,0-10%,0-35,2,60,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,140807,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,60,TRUE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,144895,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,146485,M,North Region,Lower Than A Level,70-80%,0-35,0,90,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,146666,F,East Anglian Region,HE Qualification,60-70%,35-55,0,120,FALSE,Fail,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,148008,M,North Western Region,A Level or Equivalent,50-60%,0-35,2,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,156783,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,157310,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,210,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,158611,M,East Midlands Region,HE Qualification,80-90%,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,162337,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,120,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,164935,M,North Western Region,HE Qualification,50-60%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,169079,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,120,FALSE,Distinction,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,173004,F,Ireland,HE Qualification,60-70%,0-35,1,90,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,173370,M,South Region,Lower Than A Level,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,177354,F,Wales,Lower Than A Level,80-90%,0-35,1,90,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,178020,F,London Region,No Formal quals,20-30%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,179718,F,South East Region,HE Qualification,20-30%,35-55,2,150,TRUE,Fail,Pass,Pass,Fail,Fail,Pass,Fail
DDD,2013J,179904,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,90,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,180651,M,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,185127,M,London Region,A Level or Equivalent,20-30%,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,188875,M,Yorkshire Region,HE Qualification,10-20,35-55,0,60,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,189624,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,150,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,191445,M,South Region,Lower Than A Level,50-60%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,203066,F,North Region,A Level or Equivalent,20-30%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,204182,M,South West Region,A Level or Equivalent,90-100%,0-35,1,60,FALSE,Pass,Pass,Pass,Fail,Pass,Pass,Pass
DDD,2013J,204505,M,North Western Region,HE Qualification,40-50%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,205442,M,Ireland,HE Qualification,NA,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,227020,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,228888,F,South Region,A Level or Equivalent,70-80%,35-55,0,90,FALSE,Pass,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,230510,M,South Region,Lower Than A Level,10-20,0-35,0,60,TRUE,Fail,Fail,Pass,Fail,Fail,Fail,Fail
DDD,2013J,231572,M,South West Region,A Level or Equivalent,50-60%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Pass
DDD,2013J,234406,F,Scotland,HE Qualification,60-70%,0-35,0,75,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,236857,M,North Western Region,Lower Than A Level,70-80%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,236953,F,South East Region,A Level or Equivalent,80-90%,0-35,2,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,237602,F,South East Region,Lower Than A Level,10-20,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,237808,M,East Anglian Region,Lower Than A Level,90-100%,35-55,0,60,FALSE,Fail,Pass,Pass,Fail,Fail,Fail,Fail
DDD,2013J,238800,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,FALSE,Fail,Pass,Pass,Fail,Fail,Fail,Fail
DDD,2013J,238983,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,2,90,TRUE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,240641,F,North Region,A Level or Equivalent,NA,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,242472,M,South Region,Lower Than A Level,30-40%,35-55,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,243372,M,South West Region,A Level or Equivalent,70-80%,35-55,0,75,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,244738,M,London Region,A Level or Equivalent,40-50%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,245653,F,Scotland,HE Qualification,70-80%,0-35,0,60,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,248695,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,248961,M,South Region,A Level or Equivalent,80-90%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,250163,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,257167,M,South Region,Lower Than A Level,70-80%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,258010,M,South Region,Lower Than A Level,50-60%,0-35,1,120,FALSE,Pass,Fail,Pass,Pass,Pass,Pass,Fail
DDD,2013J,258042,F,South East Region,HE Qualification,60-70%,35-55,0,90,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,259060,F,North Region,Lower Than A Level,10-20,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,259641,M,North Region,A Level or Equivalent,NA,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,259951,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Pass
DDD,2013J,263524,F,Scotland,Lower Than A Level,60-70%,0-35,1,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,266286,F,South West Region,HE Qualification,70-80%,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,266558,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,90,TRUE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,267871,M,Yorkshire Region,A Level or Equivalent,0-10%,35-55,2,120,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,270393,F,East Anglian Region,Lower Than A Level,0-10%,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,270493,F,South Region,Lower Than A Level,50-60%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,271206,M,North Region,HE Qualification,50-60%,0-35,0,60,FALSE,Fail,Pass,Fail,Pass,Fail,Fail,Fail
DDD,2013J,271526,M,South Region,HE Qualification,80-90%,35-55,2,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,274712,M,London Region,HE Qualification,70-80%,35-55,2,60,FALSE,Fail,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,274964,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,120,FALSE,Fail,Pass,Pass,Fail,Fail,Fail,Fail
DDD,2013J,275232,F,Wales,A Level or Equivalent,40-50%,35-55,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,276857,F,Wales,HE Qualification,80-90%,35-55,0,60,FALSE,Pass,Pass,Pass,Fail,Pass,Pass,Fail
DDD,2013J,277412,M,Wales,A Level or Equivalent,20-30%,35-55,0,120,FALSE,Fail,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,277596,M,South Region,Lower Than A Level,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Pass
DDD,2013J,277729,M,South West Region,A Level or Equivalent,30-40%,0-35,0,90,FALSE,Fail,Pass,Fail,Fail,Pass,Fail,Fail
DDD,2013J,279868,F,Yorkshire Region,HE Qualification,30-40%,0-35,0,120,FALSE,Pass,Pass,Pass,Fail,Pass,Fail,Fail
DDD,2013J,282317,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,TRUE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,285557,M,Scotland,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,286842,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,287783,F,Wales,HE Qualification,50-60%,0-35,1,90,FALSE,Distinction,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,289009,M,Yorkshire Region,HE Qualification,10-20,35-55,0,150,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,292694,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,1,180,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,293853,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,294364,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,298402,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,299473,M,East Midlands Region,Lower Than A Level,40-50%,0-35,2,60,TRUE,Fail,Pass,Pass,Pass,Fail,Pass,Pass
DDD,2013J,303582,F,North Western Region,A Level or Equivalent,10-20,0-35,0,105,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,305535,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,2,180,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,307932,M,Scotland,HE Qualification,90-100%,0-35,1,120,FALSE,Fail,Fail,Fail,Fail,Fail,Fail,Fail
DDD,2013J,308231,M,North Western Region,Lower Than A Level,70-80%,0-35,0,60,FALSE,Fail,Pass,Pass,Fail,Fail,Fail,Fail
DDD,2013J,314956,M,South East Region,A Level or Equivalent,60-70%,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,315625,M,South East Region,A Level or Equivalent,50-60%,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,315730,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,315909,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,317096,F,London Region,A Level or Equivalent,50-60%,0-35,0,90,FALSE,Pass,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,318794,F,North Western Region,Lower Than A Level,0-10%,0-35,0,150,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,318977,M,South West Region,Lower Than A Level,50-60%,0-35,0,60,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,320963,M,Ireland,A Level or Equivalent,90-100%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,325497,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,331315,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,1,130,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,331404,F,North Region,HE Qualification,NA,55<=,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,332309,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,332436,M,South Region,Lower Than A Level,70-80%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,332726,F,South East Region,Lower Than A Level,30-40%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,334255,F,Scotland,HE Qualification,30-40%,0-35,0,60,TRUE,Pass,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,334257,M,North Region,Lower Than A Level,NA,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,335405,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,FALSE,Distinction,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,336037,M,North Region,Post Graduate Qualification,NA,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,338034,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,339739,F,South Region,Lower Than A Level,80-90%,0-35,0,60,TRUE,Fail,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,339924,M,North Western Region,No Formal quals,10-20,0-35,3,60,FALSE,Fail,Pass,Fail,Pass,Fail,Fail,Fail
DDD,2013J,341854,M,Wales,HE Qualification,70-80%,35-55,0,60,FALSE,Fail,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,342100,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,342387,F,London Region,A Level or Equivalent,20-30%,0-35,1,180,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,342949,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,70,FALSE,Fail,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,343238,F,North Western Region,Lower Than A Level,40-50%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Fail,Pass,Fail
DDD,2013J,343781,F,South Region,Post Graduate Qualification,90-100%,35-55,0,60,FALSE,Distinction,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,343911,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,FALSE,Fail,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,344474,M,South West Region,A Level or Equivalent,50-60%,0-35,1,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,346333,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,348050,M,London Region,A Level or Equivalent,40-50%,0-35,1,90,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,350644,M,London Region,A Level or Equivalent,40-50%,0-35,1,90,FALSE,Fail,Pass,Fail,Pass,Fail,Fail,Fail
DDD,2013J,350929,F,London Region,A Level or Equivalent,40-50%,0-35,0,60,TRUE,Distinction,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,352051,F,North Western Region,Lower Than A Level,20-30%,35-55,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,352771,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,355510,F,North Western Region,A Level or Equivalent,90-100%,35-55,1,150,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,358504,F,London Region,A Level or Equivalent,30-40%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,359943,M,South Region,A Level or Equivalent,10-20,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,361243,F,South Region,Lower Than A Level,70-80%,0-35,0,90,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,361282,M,Wales,Lower Than A Level,10-20,0-35,1,60,FALSE,Fail,Pass,Pass,Pass,Fail,Fail,Fail
DDD,2013J,362647,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
DDD,2013J,363990,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,TRUE,Fail,Fail,Fail,Fail,Fail,Fail,Fail
DDD,2013J,364239,M,East Midlands Region,Lower Than A Level,40-50%,0-35,0,120,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,364547,M,South Region,A Level or Equivalent,50-60%,0-35,0,210,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,364770,M,North Western Region,Lower Than A Level,10-20,0-35,1,60,FALSE,Pass,Pass,Pass,Pass,Pass,Fail,Fail
DDD,2013J,366449,M,East Anglian Region,A Level or Equivalent,10-20,0-35,1,120,TRUE,Pass,Pass,Pass,Pass,Pass,Pass,Pass
DDD,2013J,366987,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,FALSE,Pass,Pass,Pass,Pass,Pass,Pass,Fail
DDD,2013J,368106,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,60,FALSE,Fail,Pass,Fail,Fail,Fail,Fail,Fail
