code_module,code_presentation,id_student,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37
DDD,2014J,123957,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,131152,2,0,28,55,60,4,38,14,1,33,1,0,28,0,1,0,2,0,4,1,1,0,1,0,16,3,0,2,0,1,0,6,0,0,0,3,0,36,35,1,0,0
DDD,2014J,132157,3,1,2,7,5,33,44,22,15,34,9,23,58,4,3,1,6,12,14,72,1,2,2,5,76,1,8,5,3,2,13,42,1,4,9,13,5,33,98,1,0,6
DDD,2014J,133365,57,5,69,64,126,118,75,142,108,123,16,95,56,39,6,47,11,17,55,57,50,30,85,68,73,52,55,80,34,27,66,1,35,35,8,57,15,15,25,6,6,1
DDD,2014J,134920,40,0,29,10,6,2,35,9,10,14,0,1,0,23,2,0,0,0,0,0,25,0,0,0,15,0,0,0,0,0,0,0,8,2,0,0,0,0,5,0,0,0
DDD,2014J,136793,80,12,5,167,64,29,14,1,16,12,20,1,11,25,6,0,0,0,0,0,6,0,16,39,38,0,0,0,21,44,15,0,0,0,0,0,0,22,14,0,0,0
DDD,2014J,147328,7,0,12,18,25,25,207,47,43,33,29,59,142,31,51,12,55,29,121,183,76,88,91,88,89,73,44,56,93,27,144,94,36,139,86,34,9,40,8,11,0,2
DDD,2014J,148414,11,2,9,47,15,46,51,36,78,72,72,25,26,61,24,19,57,17,44,12,8,21,37,20,69,18,4,53,4,15,36,33,2,25,85,65,44,9,55,1,0,0
DDD,2014J,152320,11,16,4,122,31,6,0,0,5,1,0,4,8,6,2,0,4,11,0,7,7,0,2,0,11,69,7,6,2,0,0,10,20,11,7,0,47,10,71,0,0,0
DDD,2014J,153170,11,7,7,17,10,80,86,25,11,105,71,43,11,7,21,0,26,7,30,0,19,1,11,22,10,7,29,14,4,4,19,18,12,22,50,0,0,88,116,16,16,3
DDD,2014J,154073,3,15,0,19,41,62,8,24,0,71,6,3,15,1,0,0,0,1,0,9,2,0,0,1,6,2,0,0,1,0,8,13,2,0,0,0,0,1,1,28,0,0
DDD,2014J,162337,30,1,9,151,67,93,18,35,11,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,163996,21,5,8,107,120,53,25,46,58,29,29,11,26,7,11,11,7,2,0,1,9,5,0,0,22,6,16,1,0,0,11,3,0,49,9,0,24,12,31,0,0,0
DDD,2014J,169894,7,0,0,90,34,0,49,20,0,47,44,0,20,4,3,0,4,10,0,24,0,47,0,14,11,29,1,8,0,9,33,19,4,0,1,0,0,0,31,0,13,0
DDD,2014J,172965,4,2,92,52,13,4,102,50,50,20,40,0,0,18,26,1,1,31,19,52,9,21,6,3,40,8,12,1,0,0,66,22,2,36,28,91,8,48,25,0,0,0
DDD,2014J,184409,40,108,51,195,140,57,54,81,53,19,61,100,33,34,58,22,29,58,39,42,50,36,73,104,40,76,40,83,61,15,15,15,31,165,101,111,42,53,127,34,15,15
DDD,2014J,189143,9,7,1,25,56,23,5,13,0,0,10,34,20,31,0,63,26,7,1,1,34,31,20,19,3,21,17,31,0,15,0,15,34,20,56,40,18,47,81,0,0,0
DDD,2014J,191732,3,0,0,0,0,0,44,4,0,23,0,0,6,26,0,0,0,0,0,4,0,1,0,0,31,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,192375,24,12,81,151,126,64,170,41,127,51,1,39,74,68,1,27,17,47,10,45,49,9,16,0,27,35,14,5,15,2,0,32,24,1,3,13,37,42,28,0,0,0
DDD,2014J,204410,64,27,80,199,108,43,28,44,73,63,56,40,66,58,44,7,68,55,42,91,176,120,110,92,214,114,149,105,74,0,94,101,60,139,139,146,103,52,87,25,11,0
DDD,2014J,234552,116,39,83,158,202,277,107,122,95,131,52,219,187,154,30,31,161,88,71,98,92,138,154,51,72,83,68,128,75,27,69,14,95,54,57,120,135,116,80,0,3,1
DDD,2014J,235893,21,5,113,164,76,31,49,68,17,52,25,42,26,43,25,9,67,70,129,138,61,62,97,47,27,77,50,38,44,20,5,36,48,105,33,33,65,107,80,35,5,5
DDD,2014J,240236,3,0,1,8,9,6,63,5,20,48,57,5,8,30,46,13,37,0,36,65,16,16,0,5,17,23,14,3,27,24,60,60,47,88,51,26,61,4,55,6,3,0
DDD,2014J,243025,231,26,8,0,30,51,35,20,10,67,12,29,23,13,0,5,19,32,17,18,10,10,20,30,13,44,26,16,13,13,9,14,44,20,21,16,66,75,41,0,0,0
DDD,2014J,256144,58,35,155,16,12,51,34,77,73,31,140,11,54,55,71,56,32,94,62,64,105,60,54,31,56,100,116,66,64,75,100,71,102,114,140,144,60,97,113,14,17,6
DDD,2014J,258538,53,10,0,74,25,7,14,6,56,0,12,3,31,7,1,0,0,0,29,15,46,60,56,1,59,9,0,0,5,11,0,0,34,2,24,25,0,21,33,1,2,0
DDD,2014J,260077,25,8,6,25,42,23,80,12,26,56,15,18,41,3,10,0,15,17,31,31,38,30,10,16,42,42,0,2,0,0,8,34,18,5,0,0,0,43,78,0,9,6
DDD,2014J,268143,6,4,43,114,27,84,72,34,112,64,45,7,83,6,35,1,60,29,38,10,19,18,9,1,119,7,22,0,7,0,23,27,19,0,38,3,11,5,70,6,0,0
DDD,2014J,269856,21,0,7,10,34,30,60,20,20,54,17,22,20,0,4,4,17,11,29,10,18,9,10,26,21,5,20,72,4,21,17,33,44,15,46,95,80,83,55,3,0,0
DDD,2014J,270502,20,3,5,6,41,2,0,32,29,9,15,7,12,0,1,0,1,1,41,36,16,15,23,5,23,1,9,30,5,3,7,17,0,2,10,5,28,14,11,0,0,0
DDD,2014J,275297,53,24,53,40,4,87,129,51,22,16,3,4,74,4,55,23,10,6,17,26,0,5,12,28,24,6,6,3,53,25,14,2,6,35,0,52,0,1,57,0,0,1
DDD,2014J,276935,2,4,5,230,39,89,19,49,59,17,37,52,68,3,19,0,18,45,83,59,31,146,100,91,67,72,228,40,74,25,20,50,30,33,99,175,39,114,109,26,0,4
DDD,2014J,281172,140,19,10,56,49,13,101,119,31,10,14,0,0,38,0,15,0,0,11,6,44,12,4,41,0,8,8,12,5,8,0,0,9,0,7,0,25,16,21,16,0,6
DDD,2014J,281920,63,7,2,7,32,9,4,25,18,10,17,0,6,9,7,7,6,20,5,15,28,15,9,1,13,56,5,20,39,4,0,28,33,52,71,151,96,55,84,10,0,1
DDD,2014J,285481,6,1,35,191,268,220,251,309,177,218,188,144,117,182,72,18,74,87,62,66,33,49,60,141,96,90,70,93,62,56,65,94,74,38,28,146,53,63,35,10,8,0
DDD,2014J,287954,2,12,13,14,22,3,47,2,24,33,13,11,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,295118,7,60,10,121,70,68,135,96,62,46,162,24,60,7,47,9,1,11,102,53,62,83,36,17,239,48,59,94,53,1,39,43,27,50,29,28,5,265,106,17,9,1
DDD,2014J,296138,7,15,11,29,12,51,17,17,32,19,0,29,35,3,9,11,20,12,26,38,10,3,8,4,34,0,0,21,0,7,3,30,0,0,0,15,0,21,3,0,0,0
DDD,2014J,298777,6,0,6,48,25,124,37,16,1,28,1,6,27,2,0,0,1,4,0,52,10,0,0,2,23,41,0,0,0,1,0,51,9,1,0,0,0,0,0,0,0,0
DDD,2014J,300057,12,0,25,3,34,35,2,9,10,4,7,3,4,10,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,303141,95,13,104,316,319,339,363,288,362,283,296,173,177,265,115,77,164,252,150,156,166,164,224,166,215,157,168,147,6,146,116,121,178,165,179,296,187,301,178,36,9,1
DDD,2014J,313561,129,60,163,142,140,365,137,455,297,218,255,206,153,140,92,75,207,196,84,206,135,262,144,184,135,198,193,110,48,8,62,175,127,194,283,116,65,171,335,114,14,9
DDD,2014J,318919,7,10,30,0,45,0,74,76,0,85,81,35,34,5,0,0,28,0,0,21,14,11,0,0,74,36,0,0,0,6,5,23,4,15,23,31,14,27,4,0,0,0
DDD,2014J,322137,74,59,127,288,194,31,187,133,126,54,101,43,109,20,16,5,66,48,55,34,57,64,89,48,44,173,43,106,85,76,59,130,119,101,93,84,117,148,102,52,20,9
DDD,2014J,323680,6,2,8,42,84,127,89,67,28,14,6,36,13,13,10,14,15,27,6,7,10,46,8,9,18,12,67,106,51,3,2,10,23,14,10,71,46,57,30,2,0,0
DDD,2014J,324338,20,0,0,0,32,5,11,0,0,17,7,14,3,8,0,1,1,0,16,14,24,10,4,0,13,20,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,328241,142,20,75,587,377,141,429,524,377,317,320,215,152,377,220,47,151,301,175,175,213,166,248,169,159,268,143,137,216,92,117,195,135,152,140,218,155,208,353,60,22,2
DDD,2014J,334973,1,0,43,50,92,57,59,78,43,18,39,39,15,38,9,4,15,36,39,24,20,58,81,56,29,39,27,34,59,15,26,14,2,71,52,65,49,34,14,0,3,1
DDD,2014J,335018,3,0,0,0,5,2,2,7,0,7,0,8,0,13,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,45,19,0,0,0
DDD,2014J,336213,7,2,2,20,0,22,37,17,36,47,10,13,43,7,11,2,7,3,24,30,10,3,18,4,50,3,0,8,3,10,15,20,12,13,2,5,0,95,18,1,5,0
DDD,2014J,337359,1,0,0,14,0,16,45,3,0,18,46,16,24,0,0,0,12,14,3,27,1,0,31,24,74,0,11,0,0,5,10,43,0,0,3,0,20,12,21,0,0,0
DDD,2014J,338704,9,0,1,28,13,3,80,12,1,19,11,3,36,10,0,0,0,18,0,17,25,26,22,0,0,52,27,0,15,0,0,18,16,0,0,1,0,66,13,0,0,0
DDD,2014J,339853,13,0,11,36,25,27,46,100,45,24,35,19,0,0,0,6,22,35,55,10,123,11,29,18,41,30,3,0,9,0,0,10,17,0,11,0,36,43,23,0,0,0
DDD,2014J,340627,6,0,0,0,37,25,150,0,0,116,0,0,114,14,1,0,0,0,9,258,14,0,3,0,119,62,8,0,0,0,16,135,12,8,41,79,0,68,13,0,0,0
DDD,2014J,341921,4,0,0,4,9,24,7,0,25,13,12,8,19,1,13,0,13,7,5,30,6,10,0,11,3,1,6,0,32,1,16,13,3,9,5,25,3,43,65,0,0,0
DDD,2014J,356561,5,1,17,11,52,25,71,27,14,43,9,5,2,32,0,6,5,42,23,71,5,15,3,12,6,22,44,6,8,7,7,42,30,5,2,2,0,16,39,0,0,0
DDD,2014J,367309,7,3,4,38,139,93,79,119,96,96,163,125,65,74,42,9,0,0,17,158,58,74,46,47,51,87,108,53,41,0,37,36,44,66,65,75,49,140,70,0,0,1
DDD,2014J,370089,4,0,0,0,14,29,71,0,3,17,0,17,46,0,0,0,0,4,29,19,2,0,0,37,75,0,0,0,0,7,13,77,0,0,60,44,47,26,47,0,0,0
DDD,2014J,370375,108,65,62,74,190,173,103,67,88,66,81,24,22,26,22,0,31,5,17,6,61,9,18,57,45,29,12,3,155,0,0,68,130,116,63,16,12,5,71,4,2,9
DDD,2014J,371019,77,11,6,38,17,6,26,7,33,14,28,27,23,3,1,1,17,6,11,9,7,9,31,47,22,6,9,33,12,3,4,14,5,28,19,22,19,30,43,0,1,0
DDD,2014J,379336,20,26,46,59,153,99,76,100,48,106,94,106,10,86,20,8,1,0,24,183,32,58,99,133,89,25,15,127,0,12,54,88,21,91,179,208,85,151,59,0,0,0
DDD,2014J,384999,9,13,7,5,58,19,11,17,10,19,9,18,20,0,0,0,2,20,4,18,22,0,6,0,16,3,3,14,0,0,62,46,72,63,48,115,59,166,377,20,5,9
DDD,2014J,385019,12,0,0,23,49,0,0,0,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,385563,7,8,0,29,25,17,54,21,79,84,11,0,30,28,0,4,0,12,3,10,45,5,20,44,20,48,9,25,1,5,0,6,5,5,0,3,4,11,6,0,0,0
DDD,2014J,387359,1,0,28,6,0,11,21,21,0,11,62,0,1,0,2,0,1,0,0,28,10,19,46,4,0,20,10,38,11,9,44,66,17,17,11,32,41,34,135,10,0,0
DDD,2014J,390849,4,0,2,0,9,29,55,33,0,27,30,3,0,9,4,8,1,6,0,13,21,0,5,0,2,35,2,0,0,0,9,13,13,19,0,3,1,0,7,0,0,0
DDD,2014J,393727,12,8,1,3,1,30,0,0,5,27,13,8,31,45,0,33,3,0,20,65,28,1,9,11,139,52,9,5,18,19,83,79,53,6,0,60,173,175,163,17,21,4
DDD,2014J,398816,2,2,0,37,27,14,110,25,15,113,6,3,113,15,1,0,1,44,6,169,86,1,11,1,221,210,32,10,19,55,18,190,99,12,48,45,67,222,218,10,0,7
DDD,2014J,399628,34,2,34,23,59,2,43,19,0,11,25,13,4,30,0,1,0,3,9,12,1,5,10,15,3,1,2,0,1,1,1,28,9,10,5,4,7,0,9,0,0,0
DDD,2014J,400091,9,1,0,5,23,27,48,9,27,52,27,15,70,9,0,8,15,42,41,22,7,13,22,41,74,7,2,0,1,0,25,4,29,5,0,3,29,35,68,4,0,0
DDD,2014J,402958,3,0,37,49,8,136,129,113,80,85,64,112,96,27,18,0,38,51,17,49,10,55,20,62,82,40,62,59,32,6,39,117,18,17,16,140,109,19,46,0,0,0
DDD,2014J,407487,2,0,0,22,64,0,30,0,4,5,13,5,0,0,7,0,5,9,8,3,0,0,1,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DDD,2014J,410767,18,24,140,90,66,106,91,148,68,174,252,159,70,151,79,121,238,242,170,189,270,217,255,259,318,213,207,248,214,159,110,224,227,237,242,477,275,376,391,54,47,10
DDD,2014J,419913,34,4,16,87,203,92,94,114,180,192,139,129,76,36,11,2,35,63,30,67,121,35,21,55,143,96,83,102,56,25,51,62,43,27,12,46,51,64,40,29,11,5
DDD,2014J,420141,19,1,0,86,97,11,12,44,63,80,54,19,56,16,2,0,10,58,53,17,26,8,36,32,28,34,2,23,0,10,9,29,32,0,53,48,35,26,52,0,0,0
DDD,2014J,420560,3,10,47,37,84,35,58,29,48,15,15,0,56,32,0,1,2,5,29,59,13,23,3,28,44,9,37,2,0,0,2,29,15,0,5,1,1,1,7,8,18,1
DDD,2014J,420762,64,16,30,65,42,17,36,20,5,14,46,30,16,40,18,11,50,14,26,5,27,8,32,25,10,25,5,41,9,1,21,7,8,14,6,7,39,38,62,0,0,0
DDD,2014J,421185,4,0,0,14,4,0,45,3,0,37,6,0,10,31,3,1,2,0,0,32,15,0,2,1,11,90,1,3,10,62,24,7,56,19,41,2,6,34,77,0,0,0
DDD,2014J,424211,75,27,17,127,59,9,0,30,51,30,25,17,80,16,0,0,5,25,15,13,0,9,11,15,19,9,8,11,3,47,6,36,38,86,62,97,83,166,95,5,1,5
DDD,2014J,425910,5,0,4,65,32,74,37,11,53,30,28,59,55,9,13,0,0,2,0,20,15,7,5,0,40,1,11,2,1,11,12,37,1,1,8,0,9,42,7,0,0,1
DDD,2014J,428116,6,1,4,17,16,0,11,4,3,13,1,9,20,0,0,0,11,9,0,35,10,0,0,0,4,0,7,0,0,0,0,0,0,13,0,7,11,32,27,0,0,0
DDD,2014J,432642,54,0,0,10,37,86,153,40,52,25,38,29,18,2,0,0,2,5,0,96,25,35,0,11,45,39,0,76,0,36,59,17,0,0,0,18,0,19,6,2,0,0
DDD,2014J,434002,31,2,38,10,13,11,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,0,10,0,0,0,69,161,70,66,45,0,0,1
DDD,2014J,435572,8,0,0,33,67,68,80,62,1,4,36,14,24,46,26,0,0,0,5,24,22,24,0,0,26,5,4,8,0,0,1,16,1,0,0,0,0,0,77,0,0,0
DDD,2014J,436898,16,0,0,39,33,24,19,17,22,27,51,11,24,13,2,0,12,8,19,8,0,33,13,8,46,35,35,23,1,4,9,12,2,3,1,93,34,29,44,0,0,0
DDD,2014J,443275,23,0,16,57,40,14,69,47,140,21,55,69,40,63,1,1,43,41,57,75,24,18,45,33,66,49,6,58,28,15,60,40,37,7,15,3,8,29,85,0,0,0
DDD,2014J,443539,42,5,10,8,102,123,110,0,23,116,225,97,44,73,16,13,16,63,0,60,105,22,15,1,51,23,6,14,49,13,17,11,12,11,12,51,29,81,88,3,0,0
DDD,2014J,444766,4,0,3,91,32,89,40,46,167,83,39,63,97,39,23,47,47,96,59,80,57,132,72,104,150,65,63,101,62,42,19,79,64,67,68,98,90,113,212,6,4,1
DDD,2014J,445239,37,23,74,23,57,33,80,58,80,78,69,51,132,60,17,26,44,47,43,85,54,52,44,28,127,86,33,29,11,1,6,93,41,28,47,20,29,22,16,0,0,0
DDD,2014J,445429,9,1,56,0,15,64,40,24,0,26,0,12,31,21,0,0,14,38,15,65,7,14,0,0,36,67,71,67,0,5,49,26,55,4,6,4,3,15,40,0,0,0
DDD,2014J,445451,23,55,7,101,135,49,44,24,23,72,62,28,18,22,5,1,18,11,9,31,56,17,4,16,6,20,13,19,33,12,44,9,21,12,0,0,65,50,33,16,1,5
DDD,2014J,446097,2,5,34,273,107,145,59,51,61,81,44,43,29,49,3,24,28,5,16,25,59,4,10,90,100,18,5,3,13,13,36,76,47,6,2,1,12,28,46,0,5,0
DDD,2014J,446730,12,44,29,84,15,139,36,237,92,108,161,127,48,97,0,0,94,122,151,113,114,83,56,123,120,104,112,103,0,0,108,85,84,206,173,250,25,178,108,31,25,0
DDD,2014J,446761,2,9,14,31,91,28,44,16,42,18,25,45,61,19,8,2,8,24,33,33,12,8,32,43,37,1,2,61,34,22,8,7,3,12,22,32,94,49,12,0,0,0
DDD,2014J,447510,5,3,26,69,41,16,75,8,20,67,2,2,19,26,0,7,8,2,1,14,8,1,2,5,2,12,2,0,0,1,1,11,10,21,3,1,25,8,33,2,0,1
DDD,2014J,447644,47,30,64,81,57,57,61,11,36,10,1,0,24,6,8,0,0,30,0,5,0,0,0,6,7,0,11,0,0,0,0,20,0,6,35,102,18,21,93,0,0,0
DDD,2014J,464748,10,0,29,44,24,10,33,17,1,33,23,28,11,46,4,0,1,23,63,0,19,0,1,8,0,87,65,22,16,20,0,29,28,0,0,0,0,8,1,0,0,0
DDD,2014J,465564,20,14,2,162,59,104,43,125,107,21,55,71,40,6,4,13,18,61,25,82,80,6,35,49,107,19,54,15,12,26,6,16,9,35,6,28,4,3,16,0,0,0
DDD,2014J,466230,35,17,39,95,27,89,58,33,38,13,27,29,13,6,4,1,0,14,68,42,16,6,0,0,3,22,2,2,6,3,38,21,23,6,8,36,6,31,43,0,0,0
DDD,2014J,466289,1,31,21,19,22,8,8,1,50,22,78,11,22,42,52,8,16,10,9,28,20,39,22,8,20,1,3,100,65,20,22,40,46,32,2,36,40,18,39,5,0,12
DDD,2014J,467893,6,0,0,203,140,149,56,49,131,77,15,28,50,12,9,28,33,26,4,30,39,44,32,3,50,94,32,13,3,36,21,42,52,85,42,57,61,13,77,0,0,0
DDD,2014J,468386,19,23,12,31,0,23,6,94,30,8,17,97,0,1,9,0,90,0,9,8,61,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,468845,4,0,0,87,76,56,15,44,90,11,26,1,22,0,8,2,17,0,3,31,32,0,29,68,9,0,9,24,26,0,13,17,0,0,51,0,20,45,35,3,0,0
DDD,2014J,469624,2,1,54,7,12,15,30,21,17,46,7,5,24,21,0,1,7,19,18,40,40,12,18,9,75,17,4,19,1,14,23,8,24,2,11,4,3,26,34,0,1,0
DDD,2014J,469633,4,1,3,118,18,40,53,5,15,33,0,18,36,1,0,4,7,24,19,34,18,0,14,4,51,6,3,2,0,1,15,37,4,13,8,35,0,0,0,0,0,0
DDD,2014J,472949,16,17,7,7,52,27,0,29,4,11,29,10,10,15,0,0,0,4,0,0,11,19,1,23,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
DDD,2014J,473129,7,0,2,43,38,10,10,2,0,48,0,0,25,11,0,0,2,2,0,19,2,0,0,0,13,4,3,0,7,3,3,1,0,0,32,7,0,8,1,0,0,0
DDD,2014J,475863,4,28,14,32,83,27,53,65,87,42,39,17,39,9,17,10,2,13,41,27,16,25,25,39,40,11,43,36,24,23,18,11,18,15,22,55,43,37,22,0,0,0
DDD,2014J,475908,7,0,0,19,28,41,10,44,43,14,15,0,11,11,0,3,15,1,8,52,7,0,69,36,37,17,12,0,0,0,22,4,0,0,0,0,22,99,26,0,0,0
DDD,2014J,477556,5,7,4,12,5,0,23,0,6,1,23,1,1,0,17,1,1,0,15,13,21,0,1,0,6,0,0,26,0,0,7,1,16,33,0,0,4,9,31,0,0,0
DDD,2014J,479553,6,10,4,168,79,207,67,49,59,52,44,13,26,20,15,20,2,2,6,16,21,4,22,20,36,13,58,15,18,11,19,6,3,20,30,54,51,10,39,7,6,0
DDD,2014J,482173,3,0,0,0,35,7,0,0,0,0,0,5,0,0,0,2,0,6,0,0,15,0,2,12,45,43,7,1,5,0,7,35,0,0,0,3,52,55,133,9,0,0
DDD,2014J,483149,107,0,8,4,81,35,20,9,0,0,18,54,40,2,15,0,0,0,12,40,33,1,38,16,92,20,0,30,58,156,6,0,12,18,11,64,42,52,61,4,1,2
DDD,2014J,485282,47,24,49,95,284,68,101,47,52,74,45,3,44,15,0,33,3,2,1,17,38,1,3,23,8,18,0,0,2,12,5,1,24,4,0,0,0,10,2,0,0,0
DDD,2014J,485421,13,0,2,40,0,17,9,21,15,34,25,68,24,7,0,1,0,27,13,7,9,5,8,12,15,9,4,0,0,0,12,14,19,8,0,0,0,25,6,1,3,0
DDD,2014J,487607,74,4,5,50,90,9,0,6,17,2,7,24,0,27,0,0,0,0,33,0,1,0,6,32,0,9,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,3
DDD,2014J,490629,14,6,1,28,27,39,30,34,23,14,26,36,5,4,3,17,20,24,7,25,19,30,10,6,10,21,28,17,29,8,6,8,7,6,12,3,27,63,31,0,1,0
DDD,2014J,492480,24,1,2,3,38,3,0,27,22,4,11,21,18,1,0,9,17,16,4,17,12,12,0,0,25,14,11,6,11,7,3,12,46,0,7,3,1,0,0,0,0,0
DDD,2014J,493207,13,11,68,216,95,52,15,16,4,33,18,1,27,20,4,0,0,0,9,11,22,12,1,1,5,63,2,0,0,0,1,16,17,0,12,0,22,42,51,0,0,0
DDD,2014J,493434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,495493,43,2,36,45,73,44,71,0,9,40,10,44,47,25,2,3,39,23,18,100,10,50,101,5,39,40,40,24,0,0,4,35,11,10,34,85,16,29,82,2,4,0
DDD,2014J,495615,27,28,7,93,175,129,12,75,26,60,8,35,52,19,4,0,30,15,37,49,36,14,6,53,45,16,62,29,0,15,6,41,1,0,0,12,5,43,30,0,0,0
DDD,2014J,495881,119,0,13,245,228,102,137,177,29,54,58,14,148,19,4,8,19,0,53,93,102,26,17,15,62,24,50,91,15,13,21,4,53,9,43,28,0,59,75,52,6,0
DDD,2014J,496916,25,5,21,35,29,63,70,98,127,53,47,32,21,36,37,34,31,19,55,42,44,20,50,12,36,68,88,19,35,5,3,2,9,1,5,52,49,0,11,0,0,0
DDD,2014J,500707,7,0,46,47,65,28,36,21,34,57,18,6,3,23,1,20,1,0,0,0,3,0,0,3,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDD,2014J,504552,10,2,0,12,7,1,1,13,4,2,15,8,0,23,2,1,1,0,11,1,0,0,0,6,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,6,0
DDD,2014J,509933,17,10,1,152,121,82,90,67,0,20,17,12,34,1,23,3,0,4,0,21,2,13,0,0,17,8,1,15,8,7,1,9,12,2,0,1,0,1,7,0,2,0
